Ensembl	Entrez	Symbol	CCs_Hep3B	CCs_Huh7	CCs_PLC-PRF-5	CSCs_Hep3B	CSCs_Huh7	CSCs_PLC-PRF-5
ENSG00000092036	54930	HAUS4	6.39231820475387	6.77680735275986	7.30550258816415	6.04431264264739	6.92434906783667	7.4914683584488
ENSG00000092051	84502	JPH4	4.92283564928645	5.38448341585958	5.093646491089	5.57488156033607	5.06411963749839	4.9046511250028
ENSG00000092054	4625	MYH7	4.62338360388692	4.46399227769826	4.38218085581011	4.13328357208909	4.49010506569766	4.46494449527944
ENSG00000092067	1053	CEBPE	4.29849032890442	4.36215674241742	4.21860054258819	4.26114174402038	4.23534619183469	4.17826973030793
ENSG00000092068	23428	SLC7A8	3.99208016301759	4.50061645527743	3.85647595555118	4.14075481327965	4.44902307087857	4.01184096913966
ENSG00000092094	55644	OSGEP	4.99567636903196	5.7947894419043	5.11796821042214	4.7756959321261	5.63941516275319	5.17246226332242
ENSG00000092096	51310	SLC22A17	4.88916057580596	4.8521928596719	4.79313518219875	4.91700647747621	4.73777035247349	5.03093366945543
ENSG00000092098	55072	RNF31	5.13791529007792	5.50736478394798	5.35247722784709	5.14067321182587	5.46033661630764	5.432741857309
ENSG00000092108	23256	SCFD1	5.84572034151853	8.641279449034	6.79174971088181	5.79200459700198	8.77513712471783	6.8113057131906
ENSG00000092140	55632	G2E3	6.61348267664158	8.61539703213745	7.01315173353449	7.13287489276406	9.17082050816606	7.12971172490172
ENSG00000092148	25831	HECTD1	7.78950466039834	9.47369626074041	7.62360902440894	7.4795094325734	9.45647150233139	7.66015250070618
ENSG00000092199	3183	HNRNPC	7.51388503500103	7.82619049382671	7.43809422886088	7.62200340132692	7.82244609471402	7.37662876337571
ENSG00000092200	57096	RPGRIP1	3.90708824672266	3.66661081503356	3.55586628744177	3.67334590660026	3.72276697664541	3.4277587444233
ENSG00000092201	11198	SUPT16H	8.56488259616106	8.61159009788827	8.44640815295648	8.62698754488207	8.69689698967015	8.28853263138306
ENSG00000092203	9878	TOX4	7.20603187365892	7.2625968344861	6.94430828871992	7.00456239480186	7.16112031439924	6.87851479728076
ENSG00000092208	8487	GEMIN2	4.37655733435468	4.7343387904461	4.9664993803679	4.10635492336741	4.98633305127596	5.08252294524315
ENSG00000092295	7051	TGM1	4.49783197779546	4.36937763914053	4.41572489811047	4.53223096257045	4.76999159715984	4.54781524031254
ENSG00000092330	26277	TINF2	6.81163124083037	6.77213829251374	7.28877881225552	6.50657067946726	6.78844818252094	7.35112128336175
ENSG00000092345	1618	DAZL	4.24356304143694	4.2519193189868	4.18823738256306	4.19001824936214	4.08522627985784	4.48113146682954
ENSG00000092377	90665	TBL1Y	2.21713441432173	1.95215148051033	2.55538258584577	2.7329719929042	2.12875390613259	1.75843014682075
ENSG00000092421	57556	SEMA6A	6.08619917131599	5.41562639901507	6.96607939891083	6.00524399060351	6.20319000338314	7.28684247499014
ENSG00000092439	54822	TRPM7	7.56311656238175	7.51679060165348	8.07648624095062	7.32616428416925	7.6862260616469	7.93239534559811
