Ensembl	Entrez	Symbol	CCs_UT14	CCs_UT16A	CCs_UT24A	CCs_UT30	CCs_UT33	CSCs_UT14	CSCs_UT16A	CSCs_UT24A	CSCs_UT30	CSCs_UT33
ENSG00000163618	8618	CADPS	3.86974245711768	3.90004247199295	3.92988771925521	3.8986083969583	3.90577989135433	3.72677693059706	3.7647316141688	4.17151404747025	3.78224558695576	3.84938288071759
ENSG00000163623	4825	NKX6-1	6.64954105681113	6.47058492914107	6.86793986658888	6.62201775082104	7.25302507918645	6.73860584654904	6.15692155944726	6.89290840112343	6.46990476307915	6.84377608379049
ENSG00000163624	1040	CDS1	7.26264006498878	7.73433801174132	7.47453537933658	7.95514442516101	8.19456263998007	6.96360498006835	7.60029571806256	7.36262073429748	8.40801048406951	7.87007523602625
ENSG00000163625	23001	WDFY3	7.39174870483519	7.25917434011315	7.488150463555	7.2590585236784	7.68420414414149	7.01695164335829	7.23716573202395	7.29588640714074	7.34175105211387	7.55008623188574
ENSG00000163626	285521	COX18	7.84089385707088	7.50762959032313	7.82714826909997	7.38680575033732	7.27604017850781	8.08381514874669	7.32221645124514	8.08351861105602	7.60270418684343	7.44839963726795
ENSG00000163629	5783	PTPN13	8.31745127103274	8.4030148617257	7.9094544691823	8.39326555415801	7.35676490452381	8.14884062148572	8.30311015049818	7.50025368751176	8.17557290082135	7.25795759140948
ENSG00000163630	132204	SYNPR	2.86382072432408	2.95665590516592	2.9436080776665	3.02269709964053	3.26394254314876	2.84789244315005	3.16500898123862	3.18733932302089	2.71914298378991	3.06993353777706
ENSG00000163631	213	ALB	3.1843785419697	3.2568577489797	3.45054939468803	3.25850087634402	3.50123747315162	3.12987124328434	3.10713390910339	3.43816937005281	2.86872120030548	3.11723306042177
ENSG00000163632	132200	C3orf49	3.49544945699181	3.58209345115463	3.80971475088118	3.91516293661793	3.93016037861667	3.6942065122911	3.07676058785626	3.79616284768569	3.69474051477593	3.68581098706537
ENSG00000163633	132989	C4orf36	5.35526635541873	5.03629601547398	5.09759879107398	5.51579763480719	5.01443091713439	5.34545750628535	4.67687157944345	5.44925750075938	5.90933984805246	4.59244920886331
ENSG00000163634	80145	THOC7	7.05992329528979	7.90078643134211	6.7128269057831	7.43784257692063	6.54186914023189	7.04872721156138	7.46345777210129	6.32790368429394	7.83237527199264	7.24796601129604
ENSG00000163635	6314	ATXN7	9.02693821871762	9.13424343524585	8.48089019757283	8.45288616564424	8.85326538457343	9.03029795766834	9.0130709544503	8.47150127031978	8.60357675977072	8.89711340896952
ENSG00000163636	9861	PSMD6	7.2033906663259	7.807582841206	6.98714064840678	7.65355682086492	7.25676322931213	7.2615326700326	7.67723774915721	7.15127549449927	7.85223583809705	7.45665131766007
ENSG00000163637	166336	PRICKLE2	6.60396908827165	5.20231336311569	5.12187971253778	5.92906883500107	6.85547102618667	6.71143196278072	4.79718196184772	5.33342003312934	5.71096509439521	6.74206328432313
ENSG00000163638	56999	ADAMTS9	4.69015145466331	5.20398349469933	7.01435928824692	7.09840894976456	5.06743317027441	5.01846214357996	6.44449331788355	7.65202148275463	7.46719159565763	4.94185295191348
ENSG00000163644	152926	PPM1K	5.22526609052033	5.74832972454044	5.73958549507609	5.40818200229701	5.6059671051742	5.02600054275931	5.58490415983944	5.74794144218468	5.61354799400684	5.79461050572814
ENSG00000163645	131831	ERICH6	3.30814941456729	3.48914207153178	3.17467911099272	3.24567104404126	3.45815801968636	3.1719859138585	3.30229699532083	3.15818834439814	3.34500200897399	3.23974575759835
ENSG00000163646	7401	CLRN1	3.28601669481991	3.79456251958182	3.35204645094909	3.44648551544326	3.47448782420645	3.34790384431933	3.47782873216095	3.84338788786487	3.3365384722389	3.26033307388527
ENSG00000163655	8833	GMPS	10.3838554199499	10.1978943033184	9.64387802567609	10.3827225764343	9.30358234617694	10.2946133740604	10.0658907566942	9.55046306915738	10.4800598903593	9.4595036686567
ENSG00000163659	25976	TIPARP	10.0072367330549	8.75694966100084	9.41566891700755	8.81579944343198	9.27239134446514	9.98728314762427	8.71756369070816	9.14918281799831	8.8312283417242	9.37196979872125
ENSG00000163660	57018	CCNL1	9.56835595709441	8.18830943261777	8.95576370569352	8.46172731624335	8.43391724449542	8.99784542768777	8.02341871463525	8.52419920950781	8.62067647116499	8.19875913563181
ENSG00000163661	5806	PTX3	5.76833798605017	3.59563311940553	4.25781574211454	4.25646875054661	5.15725161185592	5.48092083576199	4.48007501174904	5.39668905710467	4.56423827890465	5.60201819369463
ENSG00000163666	8820	HESX1	3.04468339852074	3.12194906575689	3.12175211523335	2.56548694018085	2.89016321385088	2.62322055418657	2.96685233668495	2.93602739207475	2.6274202039823	3.04726123432065
ENSG00000163681	7871	SLMAP	8.4122336353713	8.75360057119546	7.85813235398673	7.65799990656547	8.11862219912667	8.39202597034007	8.70603814382482	7.53478369785622	8.0114542152024	8.22387585118559
ENSG00000163682	6133	RPL9	9.4110254435699	9.40322503755733	9.72715940848267	9.60707217626552	8.91086617585356	9.51606350158219	9.14268141488805	9.89008421649273	9.67726974977211	8.95100335448324
ENSG00000163683	201895	SMIM14	6.51489608301296	8.31791852038482	7.76527060282861	7.85430544681862	8.37069379194932	7.30810166398742	8.39262357229311	7.50454251400771	7.97424711706761	8.4076492924595
ENSG00000163684	11102	RPP14	7.43238613651826	7.60905977568853	6.45230639816495	7.53373599460351	6.74943970469023	7.25768322578523	7.77920709067171	6.44808290259192	7.74675011391409	7.20318267155183
ENSG00000163686	57406	ABHD6	6.53327940803956	6.31664616485141	6.05431879620966	6.14519308891569	6.64443979975789	6.65424065651236	6.23653765345607	6.30502290977807	6.22376381664887	6.67733914069003
ENSG00000163687	1776	DNASE1L3	2.94478152380885	2.95619902296129	3.29505906310063	3.31293738508452	3.36642877063704	2.63708825539989	3.06916306825112	3.15599826612069	2.8721696601555	3.09241165062578
