Ensembl	Entrez	Symbol	CCs_1	CCs_2	CCs_3	CSCs_1	CSCs_2	CSCs_3
ENSG00000213139	1427	CRYGS	4.20748940556191	3.85247742234894	4.04779412119523	4.50660917813612	3.90770419460003	3.82878928374059
ENSG00000213145	1396	CRIP1	7.94565660540602	10.1675347791662	11.2556162494738	6.46808113674851	8.70568200218406	9.8938897784694
ENSG00000213199	9311	ASIC3	3.72009666837363	3.58668145835184	3.71193482546793	3.79667746705377	3.8327028323568	3.78446588268843
ENSG00000213218	1443	CSH2	3.6280442291117	3.4750154531611	3.64160304398578	3.65821912820809	3.58659319445683	3.66863952477362
ENSG00000213246	6827	SUPT4H1	7.76209678780435	7.55115829397989	7.98451424459961	7.49726629129111	7.37652076508295	7.33251598721823
ENSG00000213281	4893	NRAS	6.77429097092737	7.5249645383399	6.86399888178633	6.79937188186952	6.94383901424371	7.10345281479301
ENSG00000213316	4056	LTC4S	6.28177114291148	5.60555697146442	6.30907026058173	6.25274710889333	6.26055107243217	6.77516372167435
ENSG00000213398	3931	LCAT	4.40470302006974	4.19762413760524	4.1324641993102	4.17065358121746	4.2757013434406	4.17561229176056
ENSG00000213402	5790	PTPRCAP	8.16223244423417	7.48015399599291	9.37709141993183	6.16332270508744	8.3643821307604	8.50880263773505
ENSG00000213442	NA	NA	12.3004321902116	11.8937640315593	13.1279599734093	12.1428115988364	11.5810515275485	11.6647091712512
ENSG00000213445	6494	SIPA1	6.27355969505165	6.51039204712973	6.29182496228158	6.34727614544613	6.92291671421473	6.89241758957332
ENSG00000213465	402	ARL2	6.42324009889507	5.62250587641266	7.41755476335397	6.46192883252292	6.10131264837464	6.05442378930206
ENSG00000213523	10011	SRA1	5.33846964312515	4.94801622578886	4.63479088334218	5.01434849637935	5.0321338707842	4.98646928757512
ENSG00000213593	51075	TMX2	8.55732160818975	8.02686480101444	8.09102997602797	9.04198186709487	8.22624219786362	8.24256939858246
ENSG00000213614	3073	HEXA	8.11960202325713	8.35025520141384	8.46848032233515	7.64810380028713	8.47002519696719	8.81469881051701
ENSG00000213619	4722	NDUFS3	7.76594960880799	7.48635130577656	8.2451005014043	7.33140244776708	7.65973443395058	7.9189797293445
ENSG00000213625	54741	LEPROT	9.34665107833089	8.30929858776685	7.38239985318163	9.94777337158104	8.12285469787247	7.83515438074667
ENSG00000213639	5500	PPP1CB	7.60450174690801	8.05582947518663	7.30461142437843	8.5981727870181	8.07660861192881	8.24120402906045
ENSG00000213654	63940	GPSM3	7.85915060340153	7.80518876657292	7.75679173602433	7.80916180129603	8.13698357726439	8.21470415105785
ENSG00000213722	23564	DDAH2	8.53789119392447	8.04026459809271	8.37021473042042	8.41091254488494	8.68816301515418	8.84361121972661
ENSG00000213741	6235	RPS29	12.6585239466841	12.5484349743533	12.8731402145753	12.4699507507188	12.2603331402724	12.4574513905278
ENSG00000213762	7693	ZNF134	6.39565321703961	5.95270118528892	5.92848570663951	6.04958844505606	6.34008020717847	6.25326449850429
ENSG00000213780	2968	GTF2H4	5.63644277642501	4.91596352505421	5.47243535239654	5.44053318108466	4.83603353841093	4.90532426616402
ENSG00000213853	2013	EMP2	3.58038911831295	3.68402292380268	3.63306417854335	3.83802858232989	3.67157555286928	3.64849454277323
ENSG00000213886	10537	UBD	3.64621377446942	3.45271873500696	3.66317737706783	3.49414424193229	3.6386288887465	3.64247557761009
ENSG00000213923	1454	CSNK1E	5.40872269053551	5.38231846619712	5.78254252585114	5.458669969741	5.2547926046848	5.32596337537472
ENSG00000213930	2592	GALT	6.45622257923102	5.86642389495595	5.7960780113903	5.81998414797069	5.85742173161195	6.08768511742519
ENSG00000213934	3047	HBG1	7.4476689319532	4.61421204614133	6.92056268552631	7.63922773773672	7.45898695112189	6.56406863887166
ENSG00000213983	8906	AP1G2	8.73264868933194	8.50764412707638	7.14555606153403	8.47229379894896	8.69631219721984	8.68151916853106
ENSG00000213999	4207	BORCS8-MEF2B	3.90207782188389	3.56414632516035	4.02760319585484	3.96593445473756	4.20745725755462	3.98091661618027
ENSG00000214078	8904	CPNE1	6.75570263817158	7.46988432983749	7.60885480968232	6.84188270408454	7.50517814443034	7.66968865374997
ENSG00000214107	4112	MAGEB1	3.2882671059359	3.32678613714161	3.39607344416552	3.53267410495546	3.38993195892182	3.53674530789608
ENSG00000214114	26292	MYCBP	5.38733028303042	5.13647841257634	5.34220984997132	5.22741084382225	5.13616957975629	5.26265249493893
ENSG00000214160	10195	ALG3	6.97966251965565	6.19954773832986	6.5782177160962	6.36550392195641	5.89121625732923	6.39215557393527
ENSG00000214182	NA	NA	11.9339622650261	11.0967904221883	12.112943934691	11.9699817738491	10.9594827299958	11.2151576168678
ENSG00000214274	283	ANG	3.36495631813366	3.6801587483912	3.38674664658955	3.40462580335376	3.56031838707956	3.53477898311503
ENSG00000214717	9189	ZBED1	6.59637054511488	6.43719302297145	6.60332693154149	6.33607028267615	6.7467074042267	6.42226518360773
ENSG00000215021	11331	PHB2	10.4994993311803	9.85590196857173	10.4547159376375	10.1644158277716	9.84333826200331	10.0011615429734
ENSG00000215274	102724473	GAGE10	3.66088991013611	3.79239066379264	3.60061247427858	3.5644575464959	3.81785923178823	3.92716853302144
ENSG00000215301	1654	DDX3X	8.09283507727662	8.13564266871011	7.68044093946587	8.03908743727594	7.89835915239006	7.93724031533648
ENSG00000215305	64601	VPS16	7.3457799928052	6.83404907277605	6.98972324804009	7.42949076416327	7.36894389777893	7.33024169849482
ENSG00000215375	4636	MYL5	4.79333197344321	5.17287218514146	5.60664675640221	4.78776748780117	4.3348160673193	4.98718347118115
ENSG00000215612	3166	HMX1	5.90526399123769	5.72704971536241	5.9665354917003	5.65578808943784	6.0147543842302	5.98890722160392
ENSG00000215704	51032	CELA2B	4.49714929509578	4.25797662226924	4.44106661079774	4.56590880703851	4.61651333586403	4.83210462720525
ENSG00000215769	109286553	ARHGAP27P1-BPTFP1-KPNA2P3	7.9795402916316	8.13651901753277	7.37288056113444	8.81069747718018	7.87485741522816	7.94474975648599
